config,N,K,task,trial,case_id,default_idx,default_tau,safe_low_idx,safe_high_idx,safe_low_tau,safe_high_tau,safe_width,safe_width_fraction,safe_log_cell_fraction,safe_log_center_span_fraction,test_oracle_idx,test_oracle_tau,safe_contains_near,safe_contains_oracle,matched_near_rate,matched_oracle_rate,containment_lift_near_case,containment_lift_oracle_case,default_test_nrmse,safe_best_test_nrmse,full_oracle_test_nrmse,safe_gain,full_oracle_gain,matched_best_gain,safe_minus_matched_gain,support_range,support_fraction_range,spectral_radius_range
N60_K25_finer_grid,60,25,lorenz_x,2,lorenz_x__trial2,24,3.5,23,24,2.9901567714820447,3.5,2,0.08,0.0800000000000001,0.041666666666655715,5,0.17577633927983924,0,0,0.125,0.08333333333333333,0.0,0.0,0.08819086758917141,0.08819086758917141,0.04612551592614444,0.0,0.042065351663026974,-0.008238864304184388,0.008238864304184388,55.316272586045415,0.9219378764340902,0.12741957423586014
N60_K25_finer_grid,60,25,lorenz_x,3,lorenz_x__trial3,9,0.3299565534151155,8,11,0.28189194928259564,0.45206921133927336,4,0.16,0.16000000000000003,0.12499999999996692,9,0.3299565534151155,1,1,0.3181818181818182,0.18181818181818182,3.1428571428472654,5.4999999999697495,0.015353609557860439,0.015353609557860439,0.015353609557860439,0.0,0.0,-0.020208040157448454,0.020208040157448454,55.25391829525145,0.9208986382541908,0.11635650832480882
N150_K13_larger_reservoir,150,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,4,0.28189194928259564,3,5,0.20574746894441603,0.38621651813276453,3,0.23076923076923078,0.23076923076923075,0.1666666666666225,3,0.20574746894441603,1,1,0.36363636363636365,0.2727272727272727,2.7499999999924376,3.6666666666532226,0.9702104516272616,0.969737266852959,0.969737266852959,0.0004731847743025819,0.0004731847743025819,-0.028486599723333086,0.028959784497635668,141.33138399922828,0.942209226661522,0.15086514633117276
N150_K13_larger_reservoir,150,13,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__trial1,9,1.3608915892697748,9,9,1.3608915892697748,1.3608915892697748,1,0.07692307692307693,0.07692307692307691,0.0,7,0.7249819385087718,1,0,0.23076923076923078,0.07692307692307693,4.333333333314555,0.0,0.9642360625163184,0.9642360625163184,0.9640750385546988,0.0,0.00016102396161965515,-0.021430759822182097,0.021430759822182097,141.3331385811508,0.9422209238743385,0.21274013444291695
N150_K13_larger_reservoir,150,13,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__trial2,5,0.38621651813276453,4,6,0.28189194928259564,0.529150262212918,3,0.23076923076923078,0.23076923076923078,0.16666666666662255,0,0.07999999999999999,0,0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.9832219373539373,0.9734392639944658,0.9579960463497517,0.009782673359471472,0.025225891004185597,0.011754316253338065,-0.0019716428938665927,141.39038939856437,0.9426025959904291,0.12839760898083685
N150_K13_larger_reservoir,150,13,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__trial3,7,0.7249819385087718,6,7,0.529150262212918,0.7249819385087718,2,0.15384615384615385,0.15384615384615385,0.08333333333331125,1,0.1096069665318704,0,0,0.25,0.16666666666666666,0.0,0.0,0.9540842381723763,0.9298032345936467,0.8607051394250755,0.024281003578729643,0.09337909874730077,0.02167183814994435,0.002609165428785292,141.35619702540268,0.9423746468360179,0.0981341148806395
N150_K13_larger_reservoir,150,13,memory_d10,0,memory_d10__trial0,0,0.07999999999999999,0,0,0.07999999999999999,0.07999999999999999,1,0.07692307692307693,0.07692307692307686,0.0,6,0.529150262212918,1,0,0.15384615384615385,0.07692307692307693,6.499999999957749,0.0,0.5812871445204543,0.5812871445204543,0.5804614979582831,0.0,0.0008256465621712117,-0.028513510543989266,0.028513510543989266,141.58726672285542,0.9439151114857026,0.12286595295457337
N150_K13_larger_reservoir,150,13,memory_d10,1,memory_d10__trial1,9,1.3608915892697748,9,9,1.3608915892697748,1.3608915892697748,1,0.07692307692307693,0.07692307692307691,0.0,12,3.5,0,0,0.15384615384615385,0.07692307692307693,0.0,0.0,0.647796113892033,0.647796113892033,0.6115013777398747,0.0,0.03629473615215828,-0.010985487939833508,0.010985487939833508,141.46044519765593,0.9430696346510395,0.12747268647605714
N150_K13_larger_reservoir,150,13,memory_d10,2,memory_d10__trial2,10,1.864539985982451,9,12,1.3608915892697748,3.5,4,0.3076923076923077,0.30769230769230776,0.24999999999993383,12,3.5,1,1,0.1,0.1,9.999999999899998,9.999999999899998,0.669750028331157,0.6156471485486547,0.6156471485486547,0.05410287978250239,0.05410287978250239,-0.0001466368789267425,0.05424951666142913,141.53861646069615,0.943590776404641,0.08487608926980417
N150_K13_larger_reservoir,150,13,memory_d10,3,memory_d10__trial3,0,0.07999999999999999,0,0,0.07999999999999999,0.07999999999999999,1,0.07692307692307693,0.07692307692307686,0.0,7,0.7249819385087718,1,0,0.38461538461538464,0.07692307692307693,2.59999999999324,0.0,0.5437695135438574,0.5437695135438574,0.5418330825486692,0.0,0.001936430995188143,-0.017249818367656804,0.017249818367656804,141.46813164482498,0.9431208776321665,0.1205767859440936
