config,N,K,task,trial,case_id,window_id,window_start,window_end,safe_width,dashboard_defined,safe_gain,full_gain,positive_safe_gain,safe_dispersion,anchor_spread,local_log_sensitivity
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,7,175,225,3,True,0.005908779039336509,0.005908779039336509,1,0.11419538435419117,0.34811536240002927,0.5981327627578172
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,8,200,250,3,True,0.0,0.0,0,0.10909496350788303,0.3475238353360923,0.5962099820285095
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,9,225,275,3,True,0.018114591684475045,0.018114591684475045,1,0.10286184419818262,0.30108975797086446,0.5378429163794373
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,10,250,300,3,True,0.008348798747758401,0.014366015522197517,1,0.12322954362951415,0.3558748774236499,0.629951298660756
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,11,275,325,3,True,0.029940991917667636,0.05787972678704023,1,0.1434983885180821,0.40127257554103385,0.6846896818369808
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,12,300,350,3,True,0.017629278341188215,0.04029275923445719,1,0.1457143208231465,0.3915192178318692,0.6735396098404333
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,13,325,375,3,True,0.05830519992811212,0.05830519992811212,1,0.13672887872783318,0.37714277900184473,0.6528092072145131
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,14,350,400,3,True,0.0216871146381854,0.037504217212537605,1,0.11016490720322131,0.30550298505192813,0.5515896030834162
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,15,375,425,3,True,0.03510399566482447,0.05607940733277739,1,0.10957703089930011,0.2826366233515239,0.5272486090764115
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,16,400,450,3,True,0.004120038181498198,0.004120038181498198,1,0.14973755258986585,0.4343945596971662,0.7338599723838306
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,17,425,475,3,True,0.0,0.0,0,0.14910169276494872,0.4389211441599329,0.7469092539324871
N60_K13_baseline,60,13,memory_d10,1,memory_d10__trial1,18,450,500,3,True,0.0014969609421006114,0.12540748886191355,1,0.111689828045211,0.3039177831423543,0.5418206156764641
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,0,0,50,3,True,0.0,0.0,0,0.154319206693559,0.4272234427504548,0.7644137622743052
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,1,25,75,3,True,0.0,0.0,0,0.16728387884797635,0.44573753204649447,0.8161495334477284
N60_K13_baseline,60,13,memory_d10,2,memory_d10__trial2,2,50,100,3,True,0.004232118309054234,0.004232118309054234,1,0.15410104119314752,0.42148781735526963,0.753216965843555
