config,N,K,task,trial,point_idx,tau,val_nrmse,test_nrmse,val_score,test_score
N60_K13_baseline,60,13,memory_d10,3,5,0.38621651813276453,0.919619880602038,0.8851292384988938,-0.919619880602038,-0.8851292384988938
N60_K13_baseline,60,13,memory_d10,3,6,0.529150262212918,0.9365920731179619,0.8944468157232814,-0.9365920731179619,-0.8944468157232814
N60_K13_baseline,60,13,memory_d10,3,7,0.7249819385087718,0.8886704540679206,0.8787990745966066,-0.8886704540679206,-0.8787990745966066
N60_K13_baseline,60,13,memory_d10,3,8,0.9932883883792685,0.8729635152878683,0.883999775206746,-0.8729635152878683,-0.883999775206746
N60_K13_baseline,60,13,memory_d10,3,9,1.3608915892697748,0.8853743744620011,0.9028008304835022,-0.8853743744620011,-0.9028008304835022
N60_K13_baseline,60,13,memory_d10,3,10,1.864539985982451,0.8849569551519403,0.8705161282891223,-0.8849569551519403,-0.8705161282891223
N60_K13_baseline,60,13,memory_d10,3,11,2.554582148011408,0.8728214144222386,0.8614767560397462,-0.8728214144222386,-0.8614767560397462
N60_K13_baseline,60,13,memory_d10,3,12,3.5,0.861631247080131,0.8641514773460214,-0.861631247080131,-0.8641514773460214
N60_K13_baseline,60,13,narma10,0,0,0.07999999999999999,0.5925443113537496,0.6962481749966873,-0.5925443113537496,-0.6962481749966873
N60_K13_baseline,60,13,narma10,0,1,0.1096069665318704,0.6117940503857136,0.7086796447501056,-0.6117940503857136,-0.7086796447501056
N60_K13_baseline,60,13,narma10,0,2,0.15017108890398193,0.6392815982474233,0.7082175604842806,-0.6392815982474233,-0.7082175604842806
N60_K13_baseline,60,13,narma10,0,3,0.20574746894441603,0.6753892767734179,0.7089859109731039,-0.6753892767734179,-0.7089859109731039
N60_K13_baseline,60,13,narma10,0,4,0.28189194928259564,0.7049304486928062,0.7408447915132859,-0.7049304486928062,-0.7408447915132859
N60_K13_baseline,60,13,narma10,0,5,0.38621651813276453,0.7176577672621506,0.7587578511807217,-0.7176577672621506,-0.7587578511807217
N60_K13_baseline,60,13,narma10,0,6,0.529150262212918,0.692913571288848,0.7422374022422684,-0.692913571288848,-0.7422374022422684
N60_K13_baseline,60,13,narma10,0,7,0.7249819385087718,0.6367684910059093,0.7068359892722936,-0.6367684910059093,-0.7068359892722936
N60_K13_baseline,60,13,narma10,0,8,0.9932883883792685,0.6537372938375965,0.7708758419773435,-0.6537372938375965,-0.7708758419773435
N60_K13_baseline,60,13,narma10,0,9,1.3608915892697748,0.6721605559249396,0.7689692304447014,-0.6721605559249396,-0.7689692304447014
N60_K13_baseline,60,13,narma10,0,10,1.864539985982451,0.6743233863192327,0.7431003811354442,-0.6743233863192327,-0.7431003811354442
N60_K13_baseline,60,13,narma10,0,11,2.554582148011408,0.7060231570106383,0.7472300637066626,-0.7060231570106383,-0.7472300637066626
N60_K13_baseline,60,13,narma10,0,12,3.5,0.7223768539965059,0.7642303905837996,-0.7223768539965059,-0.7642303905837996
N60_K13_baseline,60,13,narma10,1,0,0.07999999999999999,0.7609832022822872,0.7715511252923677,-0.7609832022822872,-0.7715511252923677
N60_K13_baseline,60,13,narma10,1,1,0.1096069665318704,0.7714185699779461,0.7830380447134675,-0.7714185699779461,-0.7830380447134675
N60_K13_baseline,60,13,narma10,1,2,0.15017108890398193,0.7770743964084125,0.7985768063669018,-0.7770743964084125,-0.7985768063669018
